cohort,record_id,subject_id,record_path,cache_path,num_beats,num_segments
"01.Holter(Local Clinic), 124 records)",DN028_7127_20210811,"01.Holter(Local Clinic), 124 records)::DN028","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN028_7127_20210811.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN028_7127_20210811",69150,42
"01.Holter(Local Clinic), 124 records)",DN092_7149_20211013,"01.Holter(Local Clinic), 124 records)::DN092","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN092_7149_20211013.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN092_7149_20211013",72576,28
"01.Holter(Local Clinic), 124 records)",DN006_7116_20210814,"01.Holter(Local Clinic), 124 records)::DN006","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN006_7116_20210814.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN006_7116_20210814",50904,221
"01.Holter(Local Clinic), 124 records)",DN064_7140_20210915,"01.Holter(Local Clinic), 124 records)::DN064","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN064_7140_20210915.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN064_7140_20210915",71326,2
"01.Holter(Local Clinic), 124 records)",DN026_7126_20210823,"01.Holter(Local Clinic), 124 records)::DN026","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN026_7126_20210823.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN026_7126_20210823",23180,1
"01.Holter(Local Clinic), 124 records)",DN072_7144_20210831,"01.Holter(Local Clinic), 124 records)::DN072","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN072_7144_20210831.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN072_7144_20210831",43930,9
"01.Holter(Local Clinic), 124 records)",DN005_7001_20211016,"01.Holter(Local Clinic), 124 records)::DN005","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN005_7001_20211016.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN005_7001_20211016",57126,43
"01.Holter(Local Clinic), 124 records)",DN019_7120_20211004,"01.Holter(Local Clinic), 124 records)::DN019","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN019_7120_20211004.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN019_7120_20211004",57798,38
"01.Holter(Local Clinic), 124 records)",DN121_7150_20211022,"01.Holter(Local Clinic), 124 records)::DN121","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN121_7150_20211022.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN121_7150_20211022",66279,219
"01.Holter(Local Clinic), 124 records)",DN081_7149_20210907,"01.Holter(Local Clinic), 124 records)::DN081","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN081_7149_20210907.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN081_7149_20210907",71921,3
"01.Holter(Local Clinic), 124 records)",DN101_7150_20210903,"01.Holter(Local Clinic), 124 records)::DN101","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN101_7150_20210903.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN101_7150_20210903",28065,4
"01.Holter(Local Clinic), 124 records)",DN021_7122_20210811,"01.Holter(Local Clinic), 124 records)::DN021","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN021_7122_20210811.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN021_7122_20210811",55423,23
"01.Holter(Local Clinic), 124 records)",DN091_7149_20211006,"01.Holter(Local Clinic), 124 records)::DN091","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN091_7149_20211006.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN091_7149_20211006",46649,234
"01.Holter(Local Clinic), 124 records)",DN116_7150_20211011,"01.Holter(Local Clinic), 124 records)::DN116","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN116_7150_20211011.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN116_7150_20211011",59236,109
